hhid,sectionb3,sectionb4,sectionb5,sectionb6,sectionb7,sectionb8,sectionb9,sectionb10,sectionb11,sectionb12,sectionb13,sectionb14,sectionb15
225,lem (fertile),0,,,,0,,,,14,30,kert,7.5
225,lem-teuf,0,,,,0,,,,0,,,
225,teuf(infertile),0,,,,0,,,,0,,,
226,lem (fertile),2,2.25,kert,.5625,0,,,,0,,,
226,lem-teuf,2,4.25,kert,1.0625,0,,,,0,,,
226,teuf(infertile),2,2.5,kert,.625,0,,,,0,,,
227,lem (fertile),0,,,,0,,,,0,,,
227,lem-teuf,2,7,kert,1.75,0,,,,0,,,
227,teuf(infertile),2,12,kert,3,0,,,,0,,,
228,lem (fertile),4,7,kert,1.75,0,,,,0,,,
228,lem-teuf,0,,,,1,5,kert,1.25,0,,,
228,teuf(infertile),0,,,,0,,,,0,,,
229,lem (fertile),1,2,kert,.5,0,,,,1,3,kert,.75
229,lem-teuf,0,,,,0,,,,0,,,
229,teuf(infertile),0,,,,0,,,,0,,,
230,lem (fertile),6,15,kert,3.75,0,,,,0,,,
230,lem-teuf,0,,,,0,,,,0,,,
230,teuf(infertile),1,2,kert,.5,0,,,,0,,,
231,lem (fertile),1,1.5,kert,.375,0,,,,1,1,kert,.25
231,lem-teuf,1,1.5,kert,.375,0,,,,0,,,
231,teuf(infertile),1,1,kert,.25,0,,,,0,,,
232,lem (fertile),2,2,kert,.5,0,,,,0,,,
232,lem-teuf,3,4,kert,1,0,,,,0,,,
232,teuf(infertile),2,2,kert,.5,0,,,,0,,,
233,lem (fertile),7,16,kert,4,0,,,,0,,,
233,lem-teuf,0,,,,0,,,,0,,,
233,teuf(infertile),0,,,,0,,,,0,,,
234,lem (fertile),0,,,,0,,,,0,,,
234,lem-teuf,6,20,kert,2,0,,,,0,,,
234,teuf(infertile),0,,,,0,,,,0,,,
235,lem (fertile),1,6,kert,1.5,0,,,,0,,,
235,lem-teuf,1,8.5,kert,2.125,0,,,,0,,,
235,teuf(infertile),1,1.5,kert,.375,0,,,,0,,,
236,lem (fertile),2,2,kert,.5,2,4,kert,1,0,,,
236,lem-teuf,3,4.5,kert,1.125,0,,,,0,,,
236,teuf(infertile),1,3,kert,.75,0,,,,0,,,
237,lem (fertile),2,7,hectare,7,0,,,,0,,,
237,lem-teuf,2,2,hectare,2,0,,,,0,,,
237,teuf(infertile),1,.5,hectare,.5,0,,,,0,,,
238,lem (fertile),1,16,kert,4,0,,,,0,,,
238,lem-teuf,2,1.5,kert,.375,0,,,,0,,,
238,teuf(infertile),1,1,kert,.25,0,,,,0,,,
239,lem (fertile),1,2,kert,.5,0,,,,5,25,kert,6.25
239,lem-teuf,0,,,,0,,,,0,,,
239,teuf(infertile),0,,,,0,,,,0,,,
240,lem (fertile),2,6,timad,0,0,,,,0,,,
240,lem-teuf,3,9,kert,2.25,0,,,,0,,,
240,teuf(infertile),0,,,,0,,,,0,,,
241,lem (fertile),3,8,kert,2,0,,,,0,,,
241,lem-teuf,2,4,kert,1,0,,,,0,,,
241,teuf(infertile),1,2,kert,.5,0,,,,0,,,
242,lem (fertile),2,8,kert,2,0,,,,0,,,
242,lem-teuf,2,8,kert,2,0,,,,0,,,
242,teuf(infertile),0,,,,0,,,,0,,,
243,lem (fertile),1,4,kert,1,0,,,,1,3,kert,.75
243,lem-teuf,1,3,kert,.75,0,,,,2,5,kert,1.25
243,teuf(infertile),1,2,kert,.5,0,,,,0,,,
244,lem (fertile),0,,,,0,,,,0,,,
244,lem-teuf,2,4,kert,1,0,,,,1,1,kert,.25
244,teuf(infertile),0,,,,0,,,,0,,,
245,lem (fertile),1,2,kert,.5,0,,,,3,5,kert,1.25
245,lem-teuf,0,,,,0,,,,1,3,kert,.75
